Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Metamodeling: More Applications","System Design Modeling and Metamodeling","","","","10.1007/978-1-4899-0676-2_13","John P. van Gigch","1991","http://link.springer.com/chapter/10.1007/978-1-4899-0676-2_13","Chapter"
"Diagnosis and metamodeling of systems failures","Systems practice","","1","1","10.1007/BF01059887","John P. van Gigch","1988","http://link.springer.com/article/10.1007/BF01059887","Article"
"Grid-Enabled Adaptive Metamodeling and Active Learning for Computer Based Design","Advances in Artificial Intelligence","","","","10.1007/978-3-642-01818-3_39","Dirk Gorissen","2009","http://link.springer.com/chapter/10.1007/978-3-642-01818-3_39","Chapter"
"Metamodeling: The epistemology of system science","Systems practice","","6","3","10.1007/BF01059724","John P. van Gigch","1993","http://link.springer.com/article/10.1007/BF01059724","Article"
"Diagnosis and Metamodeling of System Failures","System Design Modeling and Metamodeling","","","","10.1007/978-1-4899-0676-2_14","John P. van Gigch","1991","http://link.springer.com/chapter/10.1007/978-1-4899-0676-2_14","Chapter"
"Metamodeling of Deteriorating Reusable Articles in a Closed Loop Supply Chain","Advances in Production Management Systems. Artificial Intelligence for Sustainable and Resilient Production Systems","","","","10.1007/978-3-030-85874-2_21","Eoin GlennaneJohn Geraghty","2021","http://link.springer.com/chapter/10.1007/978-3-030-85874-2_21","Chapter"
"Self-Organizing-Map-Based Metamodeling for Massive Text Data Exploration","Advances in Neural Networks - ISNN 2006","","","","10.1007/11759966_187","Kin Keung LaiLean YuLigang ZhouShouyang Wang","2006","http://link.springer.com/chapter/10.1007/11759966_187","Chapter"
"A metamodeling approach for the identification of organizational smells in multi-agent systems: application to ASPECS","Artificial Intelligence Review","","49","2","10.1007/s10462-016-9521-7","Pedro AraujoSebastián RodríguezVincent Hilaire","2018","http://link.springer.com/article/10.1007/s10462-016-9521-7","Article"
"Context Modeling and Metamodeling: A State of the Art","Proceedings of the Mediterranean Conference on Information & Communication Technologies 2015","","","","10.1007/978-3-319-30298-0_30","Zineb AarabRajaa SaidiMoulay Driss Rahmani","2016","http://link.springer.com/chapter/10.1007/978-3-319-30298-0_30","Chapter"
"An Artificial Neural Network Based Simulation Metamodeling Approach for Dual Resource Constrained Assembly Line","Artificial Neural Networks – ICANN 2006","","","","10.1007/11840930_104","Gokalp YildizOzgur Eski","2006","http://link.springer.com/chapter/10.1007/11840930_104","Chapter"
"Neuroevolutionary Approach to Metamodeling of Production-Inventory Systems with Lost-Sales and Markovian Demand","Reliability and Statistics in Transportation and Communication","","","","10.1007/978-3-030-44610-9_10","Ilya Jackson","2020","http://link.springer.com/chapter/10.1007/978-3-030-44610-9_10","Chapter"
